Query,Subject,Identity,E-value
Query_108813,gb|QGZ17840.1| capsid protein [Pelagibacter phage HTVC027P],278,0.0
Query_108813,dbj|BCV01722.1| MAG: hypothetical protein CM15mV45_150 [uncultured marine virus],278,0.0
Query_108813,gb|MDP6583172.1| Mu-like prophage major head subunit gpT family protein [Anaerolineales bacterium],265,0.0
Query_108813,gb|MAU24739.1| hypothetical protein [Chloroflexota bacterium],262,0.0
Query_108813,gb|MDB4352334.1| hypothetical protein [Porticoccaceae bacterium] >gb|MDB4676149.1| hypothetical protein [Flavobacteriales bacterium] >gb|MDB9910570.1| hypothetical protein [Flavobacteriaceae bacterium],262,0.0
Query_108813,gb|MDH3879825.1| hypothetical protein [Desulfobacterales bacterium],262,0.0
Query_108813,gb|REK63572.1| MAG: hypothetical protein DWQ49_02565 [Bacteroidota bacterium],257,0.0
Query_108813,gb|ASE99978.1| hypothetical protein [uncultured virus],251,0.0
Query_108813,gb|MDB4343223.1| hypothetical protein [bacterium],252,0.0
Query_108813,gb|MBT8233691.1| hypothetical protein [Bacteroidia bacterium],252,0.0
Query_108813,gb|MDA9624151.1| hypothetical protein [Pelagibacteraceae bacterium],250,0.0
Query_108813,gb|MDB3885980.1| hypothetical protein [Candidatus Pelagibacter sp.] >gb|MDC0647570.1| hypothetical protein [Candidatus Pelagibacter sp.],250,0.0
Query_108813,gb|MDH4011784.1| hypothetical protein [Desulfobacterales bacterium],250,0.0
Query_108813,dbj|BCV03115.1| MAG: hypothetical protein CM15mV61_300 [uncultured marine virus],250,0.0
Query_108813,gb|MDC1485813.1| hypothetical protein [Pelagibacteraceae bacterium],247,2.2429e-180
Query_108813,gb|MDC0955850.1| hypothetical protein [Candidatus Pelagibacter sp.],248,4.57335e-180
Query_108813,gb|MAW49043.1| hypothetical protein [Gammaproteobacteria bacterium],248,1.2265e-179
Query_108813,gb|MDC1109730.1| hypothetical protein [Candidatus Pelagibacter sp.],244,1.58352e-179
Query_108813,gb|MCS5599911.1| phage major capsid protein [Rhodospirillales bacterium],242,4.82322e-178
Query_108813,gb|MDP6587096.1| hypothetical protein [Anaerolineales bacterium],244,3.34332e-177
Query_108813,gb|ANS05636.1| hypothetical protein [uncultured Mediterranean phage],243,1.16695e-176
Query_108813,gb|MAW12599.1| hypothetical protein [Paracoccaceae bacterium],242,1.0108e-175
Query_108813,gb|ASF00462.1| hypothetical protein [uncultured virus],241,1.41977e-175
Query_108813,dbj|BCV05835.1| MAG: hypothetical protein CM15mV118_310 [uncultured marine virus],242,2.95885e-175
Query_108813,gb|MDC3263756.1| hypothetical protein [Porticoccaceae bacterium],242,1.88375e-173
Query_108813,gb|MAJ58179.1| hypothetical protein [Candidatus Pelagibacter sp.],241,1.16023e-171
Query_108813,gb|MDP6587369.1| Mu-like prophage major head subunit gpT family protein [Anaerolineales bacterium],236,9.29887e-171
Query_108813,gb|MDC3346416.1| hypothetical protein [Schleiferiaceae bacterium],233,1.39417e-169
Query_108813,gb|MDA9812528.1| hypothetical protein [bacterium],238,3.54286e-169
Query_108813,gb|MCJ7571270.1| phage major capsid protein [Candidatus Thermoplasmatota archaeon],238,4.91503e-169
Query_108813,gb|NBP70357.1| hypothetical protein [Cytophagia bacterium],235,1.3177e-168
Query_108813,dbj|BCV04387.1| MAG: hypothetical protein CM15mV85_110 [uncultured marine virus],234,2.69512e-168
Query_108813,gb|MBC8408997.1| Mu-like prophage major head subunit gpT family protein [Paracoccaceae bacterium],233,5.57857e-168
Query_108813,gb|MBC8409109.1| hypothetical protein [Paracoccaceae bacterium],229,8.08864e-168
Query_108813,gb|MDP6249942.1| hypothetical protein [Candidatus Paceibacterota bacterium] >gb|MDP7159090.1| hypothetical protein [Candidatus Paceibacterota bacterium],228,3.73794e-167
Query_108813,gb|MDB4410982.1| Mu-like prophage major head subunit gpT family protein [bacterium],231,5.96785e-167
Query_108813,gb|MDB4453568.1| hypothetical protein [Pseudomonadales bacterium],232,1.04695e-166
Query_108813,gb|NBW11802.1| hypothetical protein [Caulobacteraceae bacterium],231,3.76039e-166
Query_108813,gb|MDC3331516.1| hypothetical protein [Candidatus Pelagibacter sp.],233,4.0159e-166
Query_108813,gb|MBX0310820.1| hypothetical protein [Sulfurihydrogenibium sp.],232,1.36998e-165
Query_108813,gb|MCH2524679.1| hypothetical protein [Dehalococcoidia bacterium],227,4.18843e-165
Query_108813,gb|NDG31858.1| hypothetical protein [bacterium],232,7.56819e-165
Query_108813,gb|MDB3947259.1| hypothetical protein [Candidatus Pelagibacter sp.],230,1.97835e-164
Query_108813,gb|OUW92622.1| MAG: hypothetical protein CBD88_08260 [Flavobacteriales bacterium TMED228],231,2.53586e-162
Query_108813,gb|MDC1302872.1| hypothetical protein [Pelagibacterales bacterium],227,5.24148e-162
Query_108813,gb|MDP6585392.1| hypothetical protein [Anaerolineales bacterium],224,1.65578e-161
Query_108813,gb|MDP6585650.1| hypothetical protein [Anaerolineales bacterium],221,3.41192e-161
Query_108813,gb|MDP6586537.1| Mu-like prophage major head subunit gpT family protein [Anaerolineales bacterium],221,1.16731e-160
Query_108813,gb|MAR57934.1| hypothetical protein [Rickettsiales bacterium],225,4.4072e-160
Query_108813,gb|MDP6585840.1| Mu-like prophage major head subunit gpT family protein [Anaerolineales bacterium],220,8.73335e-160
