Query,Subject,Identity,E-value
Query_60673,"gb|KKR03299.1| MAG: hypothetical protein UT26_C0004G0001, partial [Microgenomates group bacterium GW2011_GWC1_39_12]",189,2.01969e-108
Query_60673,tpg|HAM95521.1| hypothetical protein [Candidatus Azambacteria bacterium],175,7.26211e-100
Query_60673,"gb|KKU21754.1| MAG: hypothetical protein UX33_C0022G0001, partial [Candidatus Azambacteria bacterium GW2011_GWC1_46_13] >gb|KKU37496.1| MAG: hypothetical protein UX51_C0020G0023, partial [Candidatus Azambacteria bacterium GW2011_GWF2_46_32]",175,1.51758e-99
Query_60673,gb|KKU38529.1| MAG: hypothetical protein UX53_C0029G0010 [Candidatus Azambacteria bacterium GW2011_GWB2_46_37],175,2.45937e-99
Query_60673,gb|KKU19169.1| MAG: Metalloendopeptidase [Candidatus Azambacteria bacterium GW2011_GWA2_45_90],180,3.0772e-94
Query_60673,ref|WP_052563977.1| carboxypeptidase regulatory-like domain-containing protein [Candidatus Brocadia sinica] >gb|MBL1168460.1| carboxypeptidase regulatory-like domain-containing protein [Candidatus Brocadia sp. AMX1] >gb|NOG40257.1| carboxypeptidase regulatory-like domain-containing protein [Planctomycetota bacterium] >gb|KXK31749.1| MAG: hypothetical protein UZ01_00818 [Candidatus Brocadia sinica] >dbj|GAN33912.1| hypothetical protein BROSI_A2447 [Candidatus Brocadia sinica JPN1] >dbj|GIK14185.1| MAG: hypothetical protein BroJett002_28920 [Candidatus Brocadia sinica],182,4.26757e-94
Query_60673,gb|KKU35259.1| MAG: Metalloendopeptidase [Candidatus Azambacteria bacterium GW2011_GWB1_46_27],180,5.21485e-94
Query_60673,tpg|HBC58891.1| hypothetical protein [Candidatus Azambacteria bacterium] >tpg|HCB36263.1| hypothetical protein [Candidatus Azambacteria bacterium],180,9.6253e-94
Query_60673,gb|MBI1834117.1| hypothetical protein [Candidatus Andersenbacteria bacterium],173,2.29701e-91
Query_60673,gb|MBI2120793.1| RHS repeat protein [Parcubacteria group bacterium],171,3.39669e-86
Query_60673,gb|MDO8231959.1| hypothetical protein [bacterium] >gb|MDO8742382.1| hypothetical protein [bacterium],164,1.13028e-82
Query_60673,gb|MBI2120799.1| VCBS repeat-containing protein [Parcubacteria group bacterium],159,1.52049e-82
Query_60673,gb|MDO8574894.1| hypothetical protein [bacterium],157,3.95054e-80
Query_60673,gb|KKP76336.1| MAG: NHL/RHS/YD repeat protein [Parcubacteria group bacterium GW2011_GWC1_35_21],155,2.27414e-73
Query_60673,ref|WP_254102380.1| RHS repeat-associated core domain-containing protein [Bradyrhizobium sp. CCGUVB1N3] >gb|MCP3475048.1| hypothetical protein [Bradyrhizobium sp. CCGUVB1N3],150,1.01804e-72
Query_60673,gb|MBI5357062.1| hypothetical protein [Candidatus Collierbacteria bacterium],146,1.3093e-68
