Genome Neighbourhood Location,MGYP accessions,Pfam
-10,,[]
-9,,[]
-8,,[]
-7,,[]
-6,,[]
-5,MGYP001273916520,['CL0268']
-4,MGYP001327798979,[]
-3,MGYP001230219023,[]
-2,MGYP001223357618,[]
-1,MGYP001284084291,[]
0 (Encapsulin_MGYP),MGYP001178754852,[MISANNOTATED_Pfam_PHAGE]
2,MGYP001258357109,['CL0123']
3,MGYP001460135749,[]
4,MGYP001461491847,[]
5,MGYP001225842149,[]
6,MGYP001217703468,['CL0159']
7,MGYP001164885470,[]
8,MGYP001281378533,[]
9,MGYP001353276347,['PF04321']
10,MGYP001316708597,['PF00535']
