Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP003347452580,[]
-9,MGYP003331016245,['CL0029']
-8,MGYP003331016224,['PF13692']
-7,MGYP003331016094,[]
-6,MGYP003331016054,"['CL0401', 'CL0401']"
-5,MGYP003331016023,[]
-4,MGYP003331016011,[]
-3,MGYP003339600600,[]
-2,MGYP003331015983,[]
-1,MGYP003331015968,[]
0 (Encapsulin_MGYP),MGYP003332394819,[MISANNOTATED_Pfam_PHAGE]
2,MGYP003323514296,[]
3,MGYP003331015739,['PF00535']
4,MGYP003331015724,[]
5,MGYP003331015693,[]
6,MGYP003331015627,['CL0170']
7,MGYP003331015613,[]
8,MGYP003331015602,[]
9,MGYP003331015572,[]
10,MGYP003331015558,[]
