Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP003629423282,[]
-9,MGYP003662477619,[]
-8,MGYP000580594058,[]
-7,MGYP001076612836,[]
-6,MGYP001044599892,[]
-5,MGYP001121521492,[]
-4,MGYP000161867939,[]
-3,MGYP001144230547,[]
-2,MGYP001278079140,[]
-1,MGYP000350595366,[]
0 (Encapsulin_MGYP),MGYP003662477660,[MISANNOTATED_Pfam_PHAGE]
2,MGYP000880839916,[]
3,MGYP000882958227,[]
4,MGYP000191352606,['PF00166']
5,MGYP000521613406,[]
6,MGYP000530459459,[]
7,MGYP003627352942,"['PF19846', 'PF01632']"
8,MGYP001017839921,[]
9,MGYP000909089093,[]
10,MGYP000935221727,[]
