Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP003626702020,[]
-9,MGYP003626702015,[]
-8,MGYP003664361533,[]
-7,MGYP003132933507,[]
-6,MGYP003132933513,[]
-5,MGYP003626701969,[]
-4,MGYP003626701965,['PF00166']
-3,MGYP003626701964,[]
-2,MGYP003626667069,[]
-1,MGYP003626701927,[]
0 (Encapsulin_MGYP),MGYP003626701920,[MISANNOTATED_Pfam_PHAGE]
2,MGYP003626701918,[]
3,MGYP003632746066,[]
4,MGYP003627242524,[]
5,MGYP003627242522,[]
6,MGYP003627242520,[]
7,MGYP003627242516,[]
8,MGYP003627242514,[]
9,MGYP003627242511,[]
10,MGYP003627242509,[]
