Genome Neighbourhood Location,MGYP accessions,Pfam
-10,,[]
-9,,[]
-8,,[]
-7,MGYP003111297788,[]
-6,MGYP003111297871,['CL0268']
-5,MGYP003111297914,[]
-4,MGYP003111297944,[]
-3,MGYP003111297968,[]
-2,MGYP001334637610,[]
-1,MGYP003111298183,"['CL0177', 'CL0177', 'CL0177', 'CL0177', 'CL0177']"
0 (Encapsulin_MGYP),MGYP003111298200,[MISANNOTATED_Pfam_PHAGE]
2,MGYP001222224787,"['CL0263', 'CL0123']"
3,MGYP001241384764,[]
4,MGYP003111298601,[]
5,MGYP001434528231,[]
6,MGYP001246807769,['CL0159']
7,MGYP001164885470,[]
8,MGYP001221069347,[]
9,MGYP003111298844,['PF04321']
10,MGYP001379529187,['PF00535']
