Genome Neighbourhood Location,MGYP accessions,Pfam
-10,,[]
-9,,[]
-8,,[]
-7,,[]
-6,MGYP003110882450,[]
-5,MGYP003110882469,[]
-4,MGYP003110882489,[]
-3,MGYP003110882539,[]
-2,MGYP003110882541,['PF01165']
-1,MGYP003110882550,[]
0 (Encapsulin_MGYP),MGYP003110882604,[MISANNOTATED_Pfam_PHAGE]
2,MGYP003110882671,[]
3,MGYP003110882791,[]
4,MGYP003110882797,"['CL0268', 'CL0268']"
5,MGYP003110882799,"['CL0268', 'CL0268']"
6,MGYP001156926021,['CL0167']
7,MGYP003110882854,"['CL0193', 'CL0193']"
8,MGYP003110882860,[]
9,MGYP003110882883,[]
10,MGYP001156758453,[]
