Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP001410390595,[]
-9,MGYP001365457042,[]
-8,MGYP003109322398,[]
-7,MGYP003109322410,"['CL0193', 'CL0193']"
-6,MGYP001156926021,['CL0167']
-5,MGYP001322508082,['CL0268']
-4,MGYP003109322563,"['CL0268', 'CL0268']"
-3,MGYP003109358320,[]
-2,MGYP001433174420,[]
-1,MGYP003109322795,[]
0 (Encapsulin_MGYP),MGYP003109322860,[MISANNOTATED_Pfam_PHAGE]
2,MGYP001273540215,['PF01165']
3,MGYP003109322969,[]
4,MGYP001208524322,[]
5,MGYP001178601867,[]
6,MGYP003109964566,[]
7,MGYP001277599781,[]
8,MGYP001207042231,[]
9,MGYP001403616739,[]
10,MGYP003109323350,[]
