Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP003334201546,[]
-9,MGYP003333653427,['PF13641']
-8,MGYP003337427694,"['PF14602', 'PF14602']"
-7,MGYP003333251979,['PF11056']
-6,MGYP003344412993,['PF06841']
-5,MGYP003341040956,['PF05050']
-4,MGYP003333519427,['PF00534']
-3,MGYP003334185446,"['PF00535', 'PF00535']"
-2,MGYP003341041055,['PF04724']
-1,MGYP003344413222,['PF13578']
0 (Encapsulin_MGYP),MGYP003341041167,[MISANNOTATED_Pfam_PHAGE]
2,MGYP003332756948,['PF13641']
3,MGYP003324939005,"['PF02698', 'CL0063']"
4,MGYP003333785714,['PF05704']
5,MGYP003344413418,[]
6,MGYP003324939103,"['CL0110', 'CL0110']"
7,MGYP003344413475,"['CL0110', 'PF02709', 'PF00535']"
8,MGYP003334794431,[]
9,MGYP003344192104,[]
10,MGYP003344413564,[]
