Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP003128774620,['PF08291']
-9,MGYP003128774641,[]
-8,MGYP003131986682,[]
-7,MGYP001383059849,[]
-6,MGYP003131986711,[]
-5,MGYP003131986714,[]
-4,MGYP003131986742,[]
-3,MGYP003115440145,[]
-2,MGYP003131986779,['CL0021']
-1,MGYP003130096312,[]
0 (Encapsulin_MGYP),MGYP003131986813,[MISANNOTATED_Pfam_PHAGE]
2,MGYP001363206368,[]
3,MGYP003131986838,[]
4,MGYP003131986841,['PF00166']
5,MGYP003125325039,[]
6,MGYP001324831936,[]
7,MGYP003131986905,['PF00961']
8,MGYP003128492962,[]
9,MGYP003131986953,[]
10,MGYP003128493212,[]
