Genome Neighbourhood Location,MGYP accessions,Pfam
-10,MGYP003670448336,[]
-9,MGYP003647036054,[]
-8,MGYP003627242514,[]
-7,MGYP003627242516,[]
-6,MGYP003627242520,[]
-5,MGYP003627242522,[]
-4,MGYP003627242524,[]
-3,MGYP003632746066,[]
-2,MGYP003626701918,[]
-1,MGYP003626701919,['CL0072']
0 (Encapsulin_MGYP),MGYP003626701920,[MISANNOTATED_Pfam_PHAGE]
2,MGYP003626667069,[]
3,MGYP003626701964,[]
4,MGYP003626701965,['PF00166']
5,MGYP003626701969,[]
6,MGYP003132933513,[]
7,MGYP003132933507,[]
8,MGYP003664361533,[]
9,MGYP003626702015,[]
10,MGYP003626702020,[]
